chapter	verse	word	type	surface	translit	strongs	morph	lemma	gloss	translation	editions	alt
1	1	1	NKO	Ὃ	Ho	G3739	R-NSN	ὅς, ἥ	which	That which	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	2	NKO	ἦν	ēn	G1510	V-IAI-3S	εἰμί	to be	was	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	3	NKO	ἀπ᾽	ap᾽	G0575	PREP	ἀπό	away from	from	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	4	NKO	ἀρχῆς,	archēs	G0746	N-GSF	ἀρχή	beginning	[the] beginning,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	5	NKO	ὃ	ho	G3739	R-ASN	ὅς, ἥ	which	that which	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	6	NKO	ἀκηκόαμεν,	akēkoamen	G0191	V-2RAI-1P	ἀκούω	to hear	we have heard,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	7	NKO	ὃ	ho	G3739	R-ASN	ὅς, ἥ	which	that which	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	8	NKO	ἑωράκαμεν	he'ōrakamen	G3708	V-RAI-1P	ὁράω	to see	we have seen	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	9	NKO	τοῖς	tois	G3588	T-DPM	ὁ	the/this/who	with the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	10	NKO	ὀφθαλμοῖς	ophthalmois	G3788	N-DPM	ὀφθαλμός	eye	eyes	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	11	NKO	ἡμῶν,	hēmōn	G3165	P-1GP	ἐγώ	I/we	of us,	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	12	NKO	ὃ	ho	G3739	R-ASN	ὅς, ἥ	which	that which	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	13	NKO	ἐθεασάμεθα	etheasametha	G2300	V-ADI-1P	θεάομαι	to look at	we have gazed upon	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	14	NKO	καὶ	kai	G2532	CONJ	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
1	1	15	NKO	αἱ	hai	G3588	T-NPF	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz	
